team,player,role,total_points,matches,raid_points,tackle_points,successful_raids,super_raids,successful_tackles,super_tackles,do_or_die_points,unsuccessful_raids,super_5s,avg_raid_pts_match,url,raid_success_rate,tackle_contribution,raid_contribution,profile
Dhangadi Wild Cats,PRAKASH GIRI,All Rounder,18.0,3.0,12.0,3.0,11.0,0.0,3.0,0.0,2.0,13.0,0.0,6.0,https://nepalkabaddileague.com/player/prakash-2,45.8,16.7,66.7,Raid-heavy
Dhangadi Wild Cats,RAHUL CHAUDHARY,Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/rahul-3,0.0,0.0,0.0,-
Dhangadi Wild Cats,RANJIT GAJMER,Unknown,8.0,3.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.67,https://nepalkabaddileague.com/player/ranjit-3,0.0,100.0,0.0,-
Dhangadi Wild Cats,Stephen Amollo Adongo,Unknown,20.0,5.0,14.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,https://nepalkabaddileague.com/player/stephen,100.0,5.0,70.0,-
Dhangadi Wild Cats,SUSHIL KUMAR CHAUDHARY,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/sushil-kumar-1,0.0,0.0,0.0,-
Butwal Bulls,AKASH MALLA,Unknown,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,https://nepalkabaddileague.com/player/akash-1,100.0,66.7,33.3,-
Butwal Bulls,Franklyne Odhare,All Rounder,6.0,5.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,https://nepalkabaddileague.com/player/franklyne,100.0,0.0,100.0,Raid-heavy
Butwal Bulls,GANESH PARKI,All Rounder,49.0,5.0,38.0,1.0,33.0,2.0,1.0,0.0,8.0,37.0,0.0,9.8,https://nepalkabaddileague.com/player/ganesh-1,47.1,2.0,77.6,Raid-heavy
Butwal Bulls,George Embugwa,All Rounder,11.0,4.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,2.75,https://nepalkabaddileague.com/player/george,88.9,0.0,72.7,Raid-heavy
Butwal Bulls,ISRAR KHAN,All Rounder,10.0,5.0,8.0,1.0,7.0,0.0,1.0,0.0,2.0,14.0,0.0,2.0,https://nepalkabaddileague.com/player/israr-2,33.3,10.0,80.0,Raid-heavy
Butwal Bulls,KHAGENDRA RAJ JOSHI,Unknown,4.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,https://nepalkabaddileague.com/player/khagendra-raj-1,33.3,50.0,50.0,-
Butwal Bulls,KUMAR LAMA,Raider,3.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.75,https://nepalkabaddileague.com/player/kumar-2,0.0,66.7,0.0,-
Butwal Bulls,MD Roman Hossain,Raider,12.0,5.0,0.0,12.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.4,https://nepalkabaddileague.com/player/md-roman,0.0,100.0,0.0,-
Butwal Bulls,MOBARAK MIYA,Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/mobarak,0.0,0.0,0.0,-
Butwal Bulls,Mohammed Shahan,Defender,20.0,5.0,10.0,1.0,12.0,0.0,1.0,0.0,4.0,15.0,0.0,4.0,https://nepalkabaddileague.com/player/mohammed,44.4,5.0,50.0,-
Butwal Bulls,NABIN DEUBA,Raider,16.0,5.0,2.0,14.0,2.0,0.0,8.0,3.0,0.0,1.0,0.0,3.2,https://nepalkabaddileague.com/player/nabin-3,66.7,87.5,12.5,-
Butwal Bulls,RAHUL ARYAL,Unknown,4.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,https://nepalkabaddileague.com/player/rahul,0.0,100.0,0.0,-
Butwal Bulls,RAKESH KUMAR YADAV,All Rounder,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,https://nepalkabaddileague.com/player/rakesh-kumar-1,50.0,0.0,50.0,Balanced
Butwal Bulls,SAROJ ADHIKARI,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/saroj-1,0.0,0.0,0.0,-
Biratnagar Bahubali,AMIT KUMAR RAJBHAR,All Rounder,15.0,7.0,1.0,14.0,1.0,0.0,14.0,0.0,1.0,4.0,0.0,2.14,https://nepalkabaddileague.com/player/amit-kumar-1,20.0,93.3,6.7,Tackle-heavy
Biratnagar Bahubali,BINAY GOSAIN,All Rounder,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://nepalkabaddileague.com/player/binay-1,100.0,0.0,0.0,Balanced
Biratnagar Bahubali,GHANSHYAM YADAV,Raider,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,https://nepalkabaddileague.com/player/ghanshyam-2,66.7,0.0,33.3,-
Biratnagar Bahubali,KALYAN BHUJEL,Unknown,17.0,6.0,3.0,14.0,0.0,1.0,6.0,4.0,0.0,1.0,0.0,2.83,https://nepalkabaddileague.com/player/kalyan-1,0.0,82.4,17.6,-
Biratnagar Bahubali,MIRAP THAPA MAGAR,Raider,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,https://nepalkabaddileague.com/player/mirap-1,50.0,0.0,0.0,-
Biratnagar Bahubali,NOPPHADON PONTAISONG,Raider,96.0,7.0,59.0,5.0,60.0,5.0,5.0,0.0,11.0,41.0,0.0,13.71,https://nepalkabaddileague.com/player/nopphadon,59.4,5.2,61.5,-
Biratnagar Bahubali,RAJU BABU YADAV,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/raju-babu-1,0.0,0.0,0.0,-
Biratnagar Bahubali,RATTANAKON YOSUNGNOEN,All Rounder,17.0,5.0,3.0,13.0,3.0,0.0,7.0,3.0,0.0,2.0,0.0,3.4,https://nepalkabaddileague.com/player/rattanakon,60.0,76.5,17.6,Tackle-heavy
Biratnagar Bahubali,SATISH KUMAR KURMI,Raider,23.0,7.0,12.0,4.0,15.0,0.0,2.0,1.0,1.0,26.0,0.0,3.29,https://nepalkabaddileague.com/player/satish-kumar-1,36.6,17.4,52.2,-
Biratnagar Bahubali,SUMIT PRASAD MAHATO THARU,Raider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/sumit-prasad-1,0.0,0.0,0.0,-
Biratnagar Bahubali,SURAJ BOHORA,Unknown,26.0,7.0,0.0,26.0,0.0,0.0,22.0,2.0,0.0,5.0,0.0,3.71,https://nepalkabaddileague.com/player/suraj-1,0.0,100.0,0.0,-
Biratnagar Bahubali,SUSHIL CHUNARA,Raider,34.0,7.0,27.0,0.0,22.0,2.0,0.0,0.0,2.0,28.0,0.0,4.86,https://nepalkabaddileague.com/player/sushil-1,44.0,0.0,79.4,-
Biratnagar Bahubali,TILAK GURUNG,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/tilak-2,0.0,0.0,0.0,-
Biratnagar Bahubali,VISHAL CHAUDHARY,Raider,3.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.75,https://nepalkabaddileague.com/player/vishal,42.9,0.0,66.7,-
